DHS,code,var,varlabel,value,value2
Dominican Republic,16,6,urban,-0.182692781,-0.866661608
Ethiopia,17,6,urban,1.951766253,3.785056353
Gabon,18,6,urban,19.34114265,18.36451501
Gambia,19,6,urban,6.741551876,5.37711823
Ghana,20,6,urban,2.540136099,5.126514018
Guatemala,21,6,urban,3.281579494,2.829916835
Guinea,22,6,urban,5.099534988,5.886435807
Haiti,23,6,urban,3.847392321,1.283839643
Honduras,24,6,urban,1.841922879,2.884141147
India,25,6,urban,24.99098301,25.3079493
Indonesia,26,6,urban,6.933838991,11.04580683
Kenya,27,6,urban,1.688165426,-0.009380173
Kyrgyz Republic,28,6,urban,1.53997314,3.816028357
Lesotho,29,6,urban,1.905439019,0.270484716
Liberia,30,6,urban,2.186955214,4.186955214
Malawai,31,6,urban,1.676726103,2.779571561
Mali,32,6,urban,14.66844082,12.16274262
Mozambique,33,6,urban,11.11859154,9.540923119
Myanmar,34,6,urban,10.95249313,12.84390807
Namibia,35,6,urban,3.589959145,1.129773974
Nepal,36,6,urban,5.371369362,3.69073081
Niger,37,6,urban,5.148637772,8.777161486
Pakistan,38,6,urban,3.273259401,1.267512083
Peru,39,6,urban,3.60192275,6.141127586
Rwanda,40,6,urban,4.309221268,3.826605648
Sierra Leone,41,6,urban,7.640452862,3.389318436
Tajikistan,42,6,urban,1.84822619,2.12081337
Timor-Leste,43,6,urban,3.192873001,4.50367552
Togo,44,6,urban,6.368838787,1.121762872
Uganda,45,6,urban,3.597933054,4.493584096
Zambia,46,6,urban,4.815226078,2.849575937
Zimbabwe,47,6,urban,5.64957571,1.440424681
Afghanistan,1,1,poor,-4.737790108,-3.374003887
Angola,2,1,poor,-14.8142099,-12.89819908
Armenia,3,1,poor,-0.410562694,-3.494029522
Bangladesh,4,1,poor,-12.64377624,-15.87686456
Benin,5,1,poor,-14.95571423,-12.60586441
Bolivia,6,1,poor,-10.04885197,-12.12832069
Burkina Faso,7,1,poor,-7.031470299,-5.459812035
Cambodia,8,1,poor,-19.37480927,-14.00310302
Cameroon,9,1,poor,-13.78880405,-14.40542604
Chad,10,1,poor,-3.62009716,-5.603393662
Colombia,11,1,poor,-7.192580223,-12.13686466
Comoros,12,1,poor,-11.5479641,-12.04514301
Congo,13,1,poor,-18.0414772,-10.95569313
Congo DR,14,1,poor,-7.642980576,-8.057556153
Cote d'Ivoire,15,1,poor,-9.776675224,-10.22430428
Dominican Republic,16,1,poor,-3.86493206,-6.257407188
Ethiopia,17,1,poor,-1.569709182,-2.004454851
Gabon,18,1,poor,-17.16760356,-15.56321812
Gambia,19,1,poor,-4.24595356,-10.41967732
Ghana,20,1,poor,-13.15968609,-10.95087641
Guatemala,21,1,poor,-18.08236122,-13.96203208
Guinea,22,1,poor,-10.70446875,-5.746327877
Haiti,23,1,poor,-10.6837244,-11.23810002
Honduras,24,1,poor,-21.1389122,-14.31749344
India,25,1,poor,-21.24844933,-19.8092804
Indonesia,26,1,poor,-15.25561525,-14.39550782
Kenya,27,1,poor,-3.333528996,-5.816892028
Kyrgyz Republic,28,1,poor,-1.074096441,-5.240730286
Lesotho,29,1,poor,-8.615714073,-1.315922976
Liberia,30,1,poor,-2.334946632,-12.63238525
Malawai,31,1,poor,-1.914231658,-7.165798188
Mali,32,1,poor,-9.866141319,-12.19274987
Mozambique,33,1,poor,-9.421434402,-11.46582421
Myanmar,34,1,poor,-20.06734085,-22.17333985
Namibia,35,1,poor,-3.521027088,-2.324700594
Nepal,36,1,poor,-2.327337027,-9.184854507
Niger,37,1,poor,-9.603515628,-7.810943604
Pakistan,38,1,poor,-19.28843307,-14.24179077
Peru,39,1,poor,-10.87936497,-9.349921227
Rwanda,40,1,poor,-11.35205322,-8.322018623
Sierra Leone,41,1,poor,-7.261026859,-10.14989204
Tajikistan,42,1,poor,-0.553743362,-0.551864624
Timor-Leste,43,1,poor,-14.91828728,-12.42987227
Togo,44,1,poor,-13.24726009,-10.84200603
Uganda,45,1,poor,-3.748876333,-10.4894104
Zambia,46,1,poor,-7.542672157,-12.58764267
Zimbabwe,47,1,poor,-10.70453072,-13.77159424
Afghanistan,1,3,hhsize,-0.232172668,0.23476623
Angola,2,3,hhsize,-0.266990483,0.174317271
Armenia,3,3,hhsize,0.274831444,-1.408402562
Bangladesh,4,3,hhsize,-1.722499089,-4.394355588
Benin,5,3,hhsize,-1.498400807,0.09932901
Bolivia,6,3,hhsize,-1.110714316,-0.203502581
Burkina Faso,7,3,hhsize,-0.37264806,0.043920562
Cambodia,8,3,hhsize,-1.309116483,-0.350043952
Cameroon,9,3,hhsize,-1.442287087,-0.295702457
Chad,10,3,hhsize,-0.048769094,-0.22588791
Colombia,11,3,hhsize,-0.313481987,-0.655240178
Comoros,12,3,hhsize,-1.163286924,0.117885835
Congo,13,3,hhsize,-0.408311099,0.037149049
Congo DR,14,3,hhsize,-0.229391783,0.104673408
Cote d'Ivoire,15,3,hhsize,-0.590449214,0.000750743
Dominican Republic,16,3,hhsize,0.513737023,0.114697076
Ethiopia,17,3,hhsize,0.218501016,0.168350354
Gabon,18,3,hhsize,-1.596618414,0.254104853
Gambia,19,3,hhsize,0.321989536,0.130612463
Ghana,20,3,hhsize,-0.168251202,-0.103550799
Guatemala,21,3,hhsize,0.793839157,0.048494022
Guinea,22,3,hhsize,-0.01749314,0.290040731
Haiti,23,3,hhsize,1.062543392,0.097617231
Honduras,24,3,hhsize,0.211468086,0.245537847
India,25,3,hhsize,-2.487437725,0.413368136
Indonesia,26,3,hhsize,-3.772506714,0.535690689
Kenya,27,3,hhsize,0.450385749,-0.113760039
Kyrgyz Republic,28,3,hhsize,-0.207638115,-1.280185342
Lesotho,29,3,hhsize,0.604702592,0.394355357
Liberia,30,3,hhsize,-0.676685691,-0.014039682
Malawai,31,3,hhsize,-0.302274913,0.044093225
Mali,32,3,hhsize,-0.434899807,0.245512694
Mozambique,33,3,hhsize,-0.270615935,-0.294036448
Myanmar,34,3,hhsize,-2.296470881,-0.566373467
Namibia,35,3,hhsize,-0.780082822,0.30234918
Nepal,36,3,hhsize,-2.364501476,1.668612838
Niger,37,3,hhsize,-0.352934361,-0.069015235
Pakistan,38,3,hhsize,1.176560402,0.579159737
Peru,39,3,hhsize,-0.276755959,0.091093533
Rwanda,40,3,hhsize,0.842160702,0.072208479
Sierra Leone,41,3,hhsize,-0.535653651,-0.044683538
Tajikistan,42,3,hhsize,-0.033364046,-0.673085332
Timor-Leste,43,3,hhsize,0.302966893,0.063584238
Togo,44,3,hhsize,-0.446300447,-0.042740051
Uganda,45,3,hhsize,-0.62287569,0.016664948
Zambia,46,3,hhsize,-0.827820063,0.149660528
Zimbabwe,47,3,hhsize,0.547595799,0.181664392
Afghanistan,1,2,num_sibs,0.395851403,-0.325267822
Angola,2,2,num_sibs,-0.490329176,-0.444341213
Armenia,3,2,num_sibs,-1.484583735,-0.371457249
Bangladesh,4,2,num_sibs,-0.307886443,-3.476576346
Benin,5,2,num_sibs,1.389859676,-0.165657967
Bolivia,6,2,num_sibs,-0.548442006,-0.73808217
Burkina Faso,7,2,num_sibs,0.232570156,-0.435618311
Cambodia,8,2,num_sibs,-4.120240211,-1.072313547
Cameroon,9,2,num_sibs,-1.389063239,0.227048248
Chad,10,2,num_sibs,-0.079718113,-0.250850767
Colombia,11,2,num_sibs,-3.137471199,-1.418694615
Comoros,12,2,num_sibs,-0.394714296,-0.390865177
Congo,13,2,num_sibs,0.040754549,-0.102135018
Congo DR,14,2,num_sibs,0.210489169,-0.186239734
Cote d'Ivoire,15,2,num_sibs,0.754239619,-0.142457202
Dominican Republic,16,2,num_sibs,-1.080655217,-1.138801217
Ethiopia,17,2,num_sibs,-0.304806828,-0.363114774
Gabon,18,2,num_sibs,1.150422573,-0.235539138
Gambia,19,2,num_sibs,-0.661123633,-0.202398494
Ghana,20,2,num_sibs,-0.833618522,0.119751483
Guatemala,21,2,num_sibs,-2.978513718,-0.552342951
Guinea,22,2,num_sibs,-0.054898344,-0.393996865
Haiti,23,2,num_sibs,-1.825321078,-0.277493954
Honduras,24,2,num_sibs,-2.578906059,-0.757320106
India,25,2,num_sibs,-4.997682095,-0.889980912
Indonesia,26,2,num_sibs,-3.573979977,-0.220855789
Kenya,27,2,num_sibs,-0.683728874,-0.009299412
Kyrgyz Republic,28,2,num_sibs,-0.56905967,-1.441053867
Lesotho,29,2,num_sibs,-1.083748817,-0.66601944
Liberia,30,2,num_sibs,-0.80333215,-0.075275622
Malawai,31,2,num_sibs,0.295241237,-0.118006781
Mali,32,2,num_sibs,0.691070199,-0.354279548
Mozambique,33,2,num_sibs,0.431631088,-0.088158876
Myanmar,34,2,num_sibs,-5.46281004,-1.805386662
Namibia,35,2,num_sibs,-0.39365539,-0.713304639
Nepal,36,2,num_sibs,-4.828446388,-3.675990582
Niger,37,2,num_sibs,-0.357436121,-0.082192808
Pakistan,38,2,num_sibs,-2.669520378,-1.094747186
Peru,39,2,num_sibs,-2.401785612,-1.736171365
Rwanda,40,2,num_sibs,-0.783106863,-0.061683357
Sierra Leone,41,2,num_sibs,-0.730063498,0.101745173
Tajikistan,42,2,num_sibs,-0.532196701,0.690564036
Timor-Leste,43,2,num_sibs,-0.62486136,-0.070255116
Togo,44,2,num_sibs,0.004979078,0.07740365
Uganda,45,2,num_sibs,-0.666292012,-0.039214838
Zambia,46,2,num_sibs,-0.91448015,-0.184349656
Zimbabwe,47,2,num_sibs,-1.062430739,-0.203280449
Afghanistan,1,7,parents_married,1.202885,1.255539
Angola,2,7,parents_married,2.76588025,3.88025
Armenia,3,7,parents_married,3.403007,4.498615
Bangladesh,4,7,parents_married,3.801362,2.078083
Benin,5,7,parents_married,3.781449,5.710064
Bolivia,6,7,parents_married,5.313678,1.209894
Burkina Faso,7,7,parents_married,3.584776,1.572042
Cambodia,8,7,parents_married,2.22754,1.765758
Cameroon,9,7,parents_married,5.569833,2.404627
Chad,10,7,parents_married,2.610262,2.973048
Colombia,11,7,parents_married,1.778223,1.51028
Comoros,12,7,parents_married,1.83852,-0.189107
Congo,13,7,parents_married,0.265552,3.911359
Congo DR,14,7,parents_married,3.690064,4.53517
Cote d'Ivoire,15,7,parents_married,4.643641,2.305379
Dominican Republic,16,7,parents_married,7.942561,3.894332
Ethiopia,17,7,parents_married,-0.0657,1.453592
Gabon,18,7,parents_married,2.237385,2.549952
Gambia,19,7,parents_married,2.026468,2.039745
Ghana,20,7,parents_married,4.639918,1.094948
Guatemala,21,7,parents_married,3.75611,3.226604
Guinea,22,7,parents_married,4.134314,4.660717
Haiti,23,7,parents_married,-0.56356,0.214243
Honduras,24,7,parents_married,-0.895816,1.020817
India,25,7,parents_married,7.178253,-0.365755
Indonesia,26,7,parents_married,4.379603,2.03756
Kenya,27,7,parents_married,7.666823,4.578986
Kyrgyz Republic,28,7,parents_married,3.338009,3.227673
Lesotho,29,7,parents_married,2.705114,1.488884
Liberia,30,7,parents_married,1.617527,2.38606
Malawai,31,7,parents_married,5.465912,3.469546
Mali,32,7,parents_married,0.320192,0.248103
Mozambique,33,7,parents_married,1.530343,0.044085
Myanmar,34,7,parents_married,3.675501,1.315392
Namibia,35,7,parents_married,4.185884,-0.966917
Nepal,36,7,parents_married,2.88184653,3.143644
Niger,37,7,parents_married,0.716561,1.529048
Pakistan,38,7,parents_married,5.277527,0.609463
Peru,39,7,parents_married,-0.595237,5.770921
Rwanda,40,7,parents_married,2.976098,-0.59356
Sierra Leone,41,7,parents_married,3.339178,1.379577
Tajikistan,42,7,parents_married,-0.066811,3.097665
Timor-Leste,43,7,parents_married,1.851865,3.034003
Togo,44,7,parents_married,0.435243,-0.952163
Uganda,45,7,parents_married,5.279442,1.631737
Zambia,46,7,parents_married,0.008276,0.411096
Zimbabwe,47,7,parents_married,-0.186443,3.267939
Afghanistan,1,8,head_employed,13.81700742,14.52111497
Angola,2,8,head_employed,16.79619957,28.42825579
Armenia,3,8,head_employed,3.35075468,7.27966211
Bangladesh,4,8,head_employed,19.15994738,20.30431036
Benin,5,8,head_employed,7.02337642,3.13104374
Bolivia,6,8,head_employed,7.23989237,14.00981731
Burkina Faso,7,8,head_employed,9.88292162,9.0701892
Cambodia,8,8,head_employed,13.23724003,18.60862772
Cameroon,9,8,head_employed,8.17135483,9.05610012
Chad,10,8,head_employed,8.50343719,12.57813392
Colombia,11,8,head_employed,12.84825808,17.78222274
Comoros,12,8,head_employed,9.33567952,12.8238486
Congo,13,8,head_employed,3.4956924,8.57038089
Congo DR,14,8,head_employed,2.3761285,6.81188073
Cote d'Ivoire,15,8,head_employed,11.83403486,13.40121661
Dominican Republic,16,8,head_employed,24.99706838,16.38184477
Ethiopia,17,8,head_employed,12.06257236,8.91593608
Gabon,18,8,head_employed,11.63306264,6.17721376
Gambia,19,8,head_employed,8.73767617,12.29664393
Ghana,20,8,head_employed,9.36565343,8.5182313
Guatemala,21,8,head_employed,13.7591984,17.35133715
Guinea,22,8,head_employed,9.52158849,11.20267561
Haiti,23,8,head_employed,9.34386232,12.27075931
Honduras,24,8,head_employed,13.7481441,22.30498749
India,25,8,head_employed,22.26961793,24.87572504
Indonesia,26,8,head_employed,15.65446957,17.41621009
Kenya,27,8,head_employed,10.969155,10.28086662
Kyrgyz Republic,28,8,head_employed,2.36899658,6.88719821
Lesotho,29,8,head_employed,6.9701946,6.31924027
Liberia,30,8,head_employed,5.42515693,3.47427866
Malawai,31,8,head_employed,6.11460507,12.22403325
Mali,32,8,head_employed,9.25432014,8.13407621
Mozambique,33,8,head_employed,7.28907401,6.21186985
Myanmar,34,8,head_employed,28.2421996,24.15832763
Namibia,35,8,head_employed,2.42618319,6.27837806
Nepal,36,8,head_employed,6.53543421,9.07279694
Niger,37,8,head_employed,6.51845497,9.18160513
Pakistan,38,8,head_employed,6.95089476,12.3402946
Peru,39,8,head_employed,8.69252351,9.35736065
Rwanda,40,8,head_employed,5.77577454,7.43206535
Sierra Leone,41,8,head_employed,9.08622599,9.46263072
Tajikistan,42,8,head_employed,6.5880917,4.53482731
Timor-Leste,43,8,head_employed,7.26440248,7.90240752
Togo,44,8,head_employed,7.03216526,7.56420045
Uganda,45,8,head_employed,4.81979383,9.61067241
Zambia,46,8,head_employed,8.13775883,8.15053888
Zimbabwe,47,8,head_employed,4.02601675,7.61185831
Afghanistan,1,9,mom_tertiary,8.466350555,2.474209785
Angola,2,9,mom_tertiary,6.366752148,1.802036524
Armenia,3,9,mom_tertiary,0.026492201,2.827543974
Bangladesh,4,9,mom_tertiary,8.35336113,7.983310723
Benin,5,9,mom_tertiary,9.228303909,0.969522059
Bolivia,6,9,mom_tertiary,1.468658566,4.276622295
Burkina Faso,7,9,mom_tertiary,8.35336113,4.2261125
Cambodia,8,9,mom_tertiary,2.842826366,2.911576271
Cameroon,9,9,mom_tertiary,13.35391235,12.51743567
Chad,10,9,mom_tertiary,10.78813267,13.11988413
Colombia,11,9,mom_tertiary,5.27814579,10.18571001
Comoros,12,9,mom_tertiary,13.92210007,12.64074111
Congo,13,9,mom_tertiary,1.513368845,1.788255811
Congo DR,14,9,mom_tertiary,6.679402351,7.344667464
Cote d'Ivoire,15,9,mom_tertiary,7.492762566,6.512222052
Dominican Republic,16,9,mom_tertiary,3.034175873,4.309860468
Ethiopia,17,9,mom_tertiary,1.404361963,3.775202811
Gabon,18,9,mom_tertiary,15.06326008,10.23320967
Gambia,19,9,mom_tertiary,11.2337265,13.02445531
Ghana,20,9,mom_tertiary,4.876048565,1.458719075
Guatemala,21,9,mom_tertiary,2.625905752,1.586291194
Guinea,22,9,mom_tertiary,13.0112915,10.94359463
Haiti,23,9,mom_tertiary,4.89598608,3.043833438
Honduras,24,9,mom_tertiary,2.934559345,2.440846384
India,25,9,mom_tertiary,3.651673138,5.509091675
Indonesia,26,9,mom_tertiary,8.138141652,2.675281509
Kenya,27,9,mom_tertiary,4.201081276,5.318975687
Kyrgyz Republic,28,9,mom_tertiary,2.35253787,2.034370184
Lesotho,29,9,mom_tertiary,5.961915493,4.793510497
Liberia,30,9,mom_tertiary,6.156396866,2.105977684
Malawai,31,9,mom_tertiary,3.91592598,1.744056225
Mali,32,9,mom_tertiary,12.29296017,13.45485279
Mozambique,33,9,mom_tertiary,2.224929333,1.660864592
Myanmar,34,9,mom_tertiary,19.99388504,16.24105167
Namibia,35,9,mom_tertiary,9.149456978,11.42490757
Nepal,36,9,mom_tertiary,1.239096522,18.97896576
Niger,37,9,mom_tertiary,7.896185875,12.57201159
Pakistan,38,9,mom_tertiary,7.307705879,7.860320091
Peru,39,9,mom_tertiary,4.55199194,3.616888046
Rwanda,40,9,mom_tertiary,5.660456657,10.06413525
Sierra Leone,41,9,mom_tertiary,6.946555614,5.095078573
Tajikistan,42,9,mom_tertiary,5.474802971,6.32495892
Timor-Leste,43,9,mom_tertiary,5.40800333,2.150751725
Togo,44,9,mom_tertiary,21.67531204,15.73491108
Uganda,45,9,mom_tertiary,1.685450077,4.840190887
Zambia,46,9,mom_tertiary,8.486393929,7.769106627
Zimbabwe,47,9,mom_tertiary,0.231989712,1.198654294
Afghanistan,1,10,dad_tertiary,4.835845947,0.936505318
Angola,2,10,dad_tertiary,10.40905762,1.234053135
Armenia,3,10,dad_tertiary,0.676039934,1.293663859
Bangladesh,4,10,dad_tertiary,12.6946106,17.74293528
Benin,5,10,dad_tertiary,21.18255043,10.85288322
Bolivia,6,10,dad_tertiary,3.624666214,1.135099053
Burkina Faso,7,10,dad_tertiary,12.6946106,11.77330267
Cambodia,8,10,dad_tertiary,16.98199272,10.48331124
Cameroon,9,10,dad_tertiary,13.42936897,7.069449641
Chad,10,10,dad_tertiary,7.670136452,5.008504272
Colombia,11,10,dad_tertiary,3.393182993,2.050517559
Comoros,12,10,dad_tertiary,13.76940155,3.014540317
Congo,13,10,dad_tertiary,17.37382507,14.37231576
Congo DR,14,10,dad_tertiary,10.21566391,10.27183545
Cote d'Ivoire,15,10,dad_tertiary,13.66247272,10.94804794
Dominican Republic,16,10,dad_tertiary,4.399002075,6.922773361
Ethiopia,17,10,dad_tertiary,0.294469446,1.385029197
Gabon,18,10,dad_tertiary,9.287617683,11.37149423
Gambia,19,10,dad_tertiary,5.854818344,5.812841773
Ghana,20,10,dad_tertiary,3.327450514,2.278844476
Guatemala,21,10,dad_tertiary,9.834501266,4.622522354
Guinea,22,10,dad_tertiary,7.427392006,7.188819051
Haiti,23,10,dad_tertiary,2.829761028,4.162283495
Honduras,24,10,dad_tertiary,2.633027554,3.951115012
India,25,10,dad_tertiary,13.68931103,11.85133541
Indonesia,26,10,dad_tertiary,13.68931103,6.063034185
Kenya,27,10,dad_tertiary,2.173563242,1.178383589
Kyrgyz Republic,28,10,dad_tertiary,3.359425068,2.464951277
Lesotho,29,10,dad_tertiary,4.51056385,4.44389838
Liberia,30,10,dad_tertiary,4.55715704,5.463232338
Malawai,31,10,dad_tertiary,2.371503353,1.61649847
Mali,32,10,dad_tertiary,13.78289413,8.253935814
Mozambique,33,10,dad_tertiary,5.363733292,1.774788141
Myanmar,34,10,dad_tertiary,3.65132761,3.432967186
Namibia,35,10,dad_tertiary,2.208291292,1.148571253
Nepal,36,10,dad_tertiary,13.20016384,16.63074493
Niger,37,10,dad_tertiary,13.17488384,11.60730112
Pakistan,38,10,dad_tertiary,13.06902504,10.30644608
Peru,39,10,dad_tertiary,1.202073693,1.266947269
Rwanda,40,10,dad_tertiary,12.47529411,4.390448272
Sierra Leone,41,10,dad_tertiary,12.87026119,5.628529847
Tajikistan,42,10,dad_tertiary,4.209571838,2.254228175
Timor-Leste,43,10,dad_tertiary,10.40050507,1.144109964
Togo,44,10,dad_tertiary,20.05032921,13.56712675
Uganda,45,10,dad_tertiary,0.633489132,2.025428772
Zambia,46,10,dad_tertiary,6.195173264,12.56029016
Zimbabwe,47,10,dad_tertiary,1.167276978,0.361362725
Afghanistan,1,11,cluster_tertiary,45.67573547,37.46079636
Angola,2,11,cluster_tertiary,17.67852402,6.857069492
Armenia,3,11,cluster_tertiary,2.607005835,18.57936478
Bangladesh,4,11,cluster_tertiary,42.55853272,41.54978943
Benin,5,11,cluster_tertiary,46.31752777,45.91743088
Bolivia,6,11,cluster_tertiary,9.056999207,16.62966347
Burkina Faso,7,11,cluster_tertiary,24.87615585,11.20454979
Cambodia,8,11,cluster_tertiary,66.61500549,68.27099228
Cameroon,9,11,cluster_tertiary,23.24591255,10.44802284
Chad,10,11,cluster_tertiary,13.72262383,14.00249624
Colombia,11,11,cluster_tertiary,14.90782642,19.32051659
Comoros,12,11,cluster_tertiary,37.81770325,9.20098114
Congo,13,11,cluster_tertiary,43.31452179,6.44568491
Congo DR,14,11,cluster_tertiary,34.73543549,5.936629772
Cote d'Ivoire,15,11,cluster_tertiary,50.62928772,5.825665474
Dominican Republic,16,11,cluster_tertiary,5.149935722,17.11731339
Ethiopia,17,11,cluster_tertiary,2.221994162,7.911111355
Gabon,18,11,cluster_tertiary,14.98754501,11.93253803
Gambia,19,11,cluster_tertiary,19.73519135,4.158436775
Ghana,20,11,cluster_tertiary,26.61228752,3.154694319
Guatemala,21,11,cluster_tertiary,17.96318245,5.986044407
Guinea,22,11,cluster_tertiary,5.913104534,2.171028137
Haiti,23,11,cluster_tertiary,30.53510857,2.422699928
Honduras,24,11,cluster_tertiary,29.63453484,9.084657669
India,25,11,cluster_tertiary,44.6825676,7.221990585
Indonesia,26,11,cluster_tertiary,24.96435568,17.85327152
Kenya,27,11,cluster_tertiary,2.767951012,5.20094347
Kyrgyz Republic,28,11,cluster_tertiary,2.119529247,30.89652634
Lesotho,29,11,cluster_tertiary,9.943870544,13.54737186
Liberia,30,11,cluster_tertiary,6.720471382,14.67663145
Malawai,31,11,cluster_tertiary,9.72365284,15.33618939
Mali,32,11,cluster_tertiary,33.96667099,27.50889015
Mozambique,33,11,cluster_tertiary,23.62709236,24.63284683
Myanmar,34,11,cluster_tertiary,68.072258,58.64800072
Namibia,35,11,cluster_tertiary,11.93450356,12.09073818
Nepal,36,11,cluster_tertiary,38.94933319,43.45097351
Niger,37,11,cluster_tertiary,28.12742233,7.160732746
Pakistan,38,11,cluster_tertiary,47.69890213,37.59032631
Peru,39,11,cluster_tertiary,9.169108391,9.087748528
Rwanda,40,11,cluster_tertiary,17.37872124,13.40263987
Sierra Leone,41,11,cluster_tertiary,24.07697678,23.68287086
Tajikistan,42,11,cluster_tertiary,2.666417837,14.99630833
