iso,countryname,region,incomegroup,avg13_literacy1524,avg13_pri_compt,avg13_pri_attain,avg13_pri_enroll,avg13_pri_teacher,avg13_sec_low_attain,avg13_sec_up_attain,avg13_sec_post_attain,avg13_sec_enroll,avg13_sec_teacher,avg13_bac_attain,avg13_mas_attain,avg13_doc_attain,avg13_ter_enroll,avg13_gov_edu
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,99.604858,,,,,,,,,,,,,,
TUN,Tunisia,Middle East & North Africa,Lower middle income,97.391991,98.291595,,112.84325,100,,,,88.659416,,,,,34.444595,
TUR,Turkey,Europe & Central Asia,Upper middle income,99.355705,91.405258,87.80098,105.05967,,54.665993,35.356495,,101.76931,,,1.6483933,.34432334,86.674423,4.7662601
TUV,Tuvalu,East Asia & Pacific,Upper middle income,,95.515427,,102.48819,,,,,83.464874,,,,,,
TZA,Tanzania,Sub-Saharan Africa,Low income,87.305344,73.66584,,84.063988,98.986214,,,,32.256081,,,,,3.64732,3.47914
UGA,Uganda,Sub-Saharan Africa,Low income,86.998993,55.882107,,109.88647,,,,,23.23654,,,,,4.7608199,2.1939001
UKR,Ukraine,Europe & Central Asia,Lower middle income,99.763947,111.0001,,105.86029,,,,,98.793442,,,,,81.187943,6.2567
URY,Uruguay,Latin America & Caribbean,High income,98.862038,103.18793,88.984207,109.14034,100,53.267345,28.259937,11.78742,101.51962,,8.3694935,1.5806134,.061110001,55.67791,
USA,United States,North America,High income,,,98.81144,99.700287,,95.267654,88.291954,,96.747131,,32.039074,11.77555,1.7159834,87.089439,5.1554551
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,100,98.709007,100,100.48671,,99.882362,91.855942,,96.188026,,15.633843,,,8.5985565,
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,,102.07764,,104.84393,81.009659,,,,104.69834,55.302952,,,,,
VEN,"Venezuela, RB",Latin America & Caribbean,Upper middle income,97.729439,95.596458,87.736923,100.95849,,69.597153,55.79327,30.78096,91.133324,,21.544649,1.033,,,
VGB,British Virgin Islands,Latin America & Caribbean,High income,,84.664474,,97.588188,85.947571,,,,98.260063,79.30603,,,,41.641491,6.6419201
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,,,,,,,,,,,,,,,
VNM,Vietnam,East Asia & Pacific,Lower middle income,98.061668,103.19388,,108.58305,99.805939,,,,,,,,,28.10784,5.65873
VUT,Vanuatu,East Asia & Pacific,Lower middle income,95.590347,93.770264,,121.7257,27.935221,,,,54.815842,21.299999,,,,,5.23035
WSM,Samoa,East Asia & Pacific,Upper middle income,99.160248,101.9769,,106.44518,,,,,85.903625,,,,,,
XKX,Kosovo,Europe & Central Asia,Lower middle income,,,,,,,,,,,,,,,
YEM,"Yemen",Middle East & North Africa,Lower middle income,89.794571,69.167587,,97.487961,,,,,48.62466,,,,,,
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,98.954636,,82.083572,99.112335,,76.88308,64.420044,14.90547,98.819672,,6.0652199,1.17919,,19.518946,6.0251102
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,91.520988,81.009048,,103.65298,,,,,,,,,,,
ZWE,Zimbabwe,Sub-Saharan Africa,Low income,91.750053,90.249062,75.784882,99.937859,85.862907,58.763168,15.19199,13.05274,47.57019,72.950569,,,,7.1525102,8.457345
